Warning: Permanently added '18.144.164.40' (ECDSA) to the list of known hosts.
/etc/profile.d/lang.sh: line 19: warning: setlocale: LC_CTYPE: cannot change locale (UTF-8): No such file or directory
initializing server with:
addr=9610201840ac0d215eb085c51ee07d679421c4a02d3810ab8d60273825de8930, instance=0, port=6666, benchmark=true, pprof=false, batchVerification=true, mapType=insertOnly, merklePooling=true, merklePoolSize=64
initializing map with len = 1.000000e+07...
initialized map. server is ready.
collect and dispatch: 64
1600950831772,64,1.472431
1600950832773,192,1.377583
1600950833774,128,0.281602
1600950834776,128,1.033187
1600950835776,192,2.005013
1600950836778,320,1.408451
1600950837779,192,0.468897
1600950838780,192,0.438048
1600950839781,128,0.720100
1600950840782,256,0.500939
1600950841783,256,0.876369
1600950842784,192,3.885929
1600950843785,448,4.215162
1600950844786,576,2.354049
1600950845788,512,1.442458
1600950846790,384,9.116541
1600950847791,576,2.165725
1600950848792,448,1.668240
1600950849793,576,1.037410
1600950850794,448,0.972702
1600950851796,448,1.445632
1600950852797,576,1.193842
1600950853798,512,5.453982
1600950854812,512,7.359850
1600950855816,768,2.580239
1600950856817,640,1.254312
1600950857819,512,1.474279
1600950858820,576,1.225259
1600950859821,576,1.541365
1600950860822,704,10.559397
1600950861823,576,2.544769
1600950862824,640,3.426595
1600950863825,896,2.107581
1600950864826,768,2.950408
1600950865828,704,3.113208
1600950866829,832,10.094340
1600950867830,832,1.634706
1600950868831,704,1.639344
1600950869832,768,1.824473
1600950870833,768,1.481715
1600950871834,768,10.323188
1600950872835,832,1.631117
1600950873836,640,1.920655
1600950874837,640,5.690035
1600950875838,896,2.425961
1600950876840,1024,12.249373
1600950877841,1024,3.376459
1600950878842,1024,2.649007
1600950879843,960,2.178030
1600950880844,1024,12.858494
1600950881846,1216,9.088040
1600950882847,1472,4.152249
1600950883848,1088,13.625731
1600950884927,1600,10.012594
1600950885929,1920,13.327002
1600950886930,2112,14.907028
1600950887931,1728,5.882353
1600950888932,1856,12.670257
1600950889933,1792,9.385827
1600950890936,2112,9.658200
1600950891940,2048,19.380335
1600950892942,2432,21.654930
1600950894026,2752,17.130215
1600950895028,3136,21.338384
1600950896030,3008,9.684543
1600950897031,2624,22.721559
1600950898032,3136,23.610675
1600950899037,3264,10.477707
1600950900038,3200,21.362623
1600950901039,3392,29.905363
1600950902040,3968,15.632911
1600950903044,3840,26.211735
1600950904045,3776,24.793912
1600950905047,3904,32.202853
1600950906048,4544,24.548622
1600950907050,4544,47.378917
1600950908185,5753,49.721585
1600950909189,6279,54.975051
1600950910271,7232,44.084028
1600950911297,6336,51.825977
1600950912298,6784,50.545455
1600950913353,7360,40.293742
1600950914354,7168,44.721689
1600950915355,7232,47.381865
1600950916358,7552,67.146513
1600950917360,8576,72.335673
1600950918361,9728,75.516037
1600950919363,7872,84.461392
1600950920365,10816,77.870773
1600950921367,8896,75.695608
1600950922368,9600,81.764897
1600950923369,14208,58.894922
1600950924370,10202,65.342282
1600950925567,11686,66.963717
1600950926569,10624,70.054157
1600950927573,11584,64.544279
1600950928575,11520,66.006494
1600950929576,11584,71.266968
1600950930578,12288,78.474201
