time,tx,cpu
1591693101638,3409,22.260009
1591693102639,5893,24.370016
1591693103640,8082,30.072350
1591693104649,10425,39.827316
1591693105650,14063,49.116550
1591693106654,18150,55.896786
1591693107657,19805,57.874520
1591693108669,20261,62.169723
1591693109673,21079,63.114883
1591693110677,21010,67.815403
1591693111703,23452,68.635927
1591693112704,23315,71.925091
1591693113705,24249,73.380727
1591693114708,25123,77.143753
1591693115710,26586,77.413127
1591693116712,26552,79.532710
1591693117718,27231,81.048075
1591693118724,27835,81.311527
1591693119726,28292,83.394383
1591693120733,28485,83.965785
1591693121737,29104,84.678064
1591693122739,29274,85.123309
1591693123741,30206,87.093207
1591693124743,30856,87.519096
1591693125747,31182,86.756506
1591693126749,31368,87.594458
1591693127751,31201,88.312883
1591693128766,31563,87.840873
1591693129767,31409,87.995629
1591693130769,31407,88.710956
1591693131770,31383,89.533807
1591693132771,31431,90.148786
1591693133774,31768,89.633768
1591693134775,31797,90.160833
1591693135777,31366,90.869293
1591693136785,32163,92.114358
1591693137786,32466,91.544690
1591693138791,31990,91.806888
1591693139800,32472,91.681109
1591693140802,32797,92.295792
1591693141803,32146,93.124903
1591693142805,32317,92.814745
1591693143806,32166,92.496847
1591693144808,32933,92.789137
1591693145811,32138,93.019252
1591693146815,32443,92.840647
1591693147820,32002,93.760618
1591693148823,32799,93.981900
1591693149854,33158,93.525408
1591693150855,32341,93.174008
1591693151859,32616,93.560547
1591693152863,32089,93.054234
1591693153865,32679,92.644511
1591693154866,32261,93.326993
1591693155868,32209,92.885066
1591693156872,32149,93.401254
1591693157875,32748,94.304491
1591693158877,32097,91.838026
1591693159879,31974,93.806552
1591693160883,32243,93.784164
1591693161885,32206,93.991948
1591693162887,32228,93.676448
1591693163888,32314,94.116717
1591693164890,32494,93.104534
1591693165891,31698,95.073506
1591693166893,32114,94.502741
1591693167895,32774,94.421003
1591693168896,31944,94.665840
1591693169897,31829,94.714752
1591693170898,32181,93.728387
1591693171900,31649,93.867779
1591693172907,32517,92.522929
1591693173911,30839,89.370695
1591693174912,31076,89.443137
1591693175914,29912,89.742005
1591693176917,30446,90.187207
1591693177918,30870,91.611583
1591693178920,31170,92.942848
1591693179921,31648,87.445141
1591693180924,29379,87.371053
1591693181926,29846,87.033553
1591693182927,29944,88.174241
1591693183930,29048,85.011746
1591693184931,29766,87.257964
1591693185933,28785,86.705659
1591693186935,29585,83.396584
1591693187937,28685,84.720025
1591693188938,28393,85.489703
1591693189940,28758,84.452130
1591693190944,28412,87.873545
1591693191945,29903,84.792844
1591693192945,28700,85.016491
1591693193946,28537,85.691898
1591693194948,28524,85.491420
1591693195948,28425,87.988547
1591693197047,30768,86.120270
1591693198049,28919,83.724225
1591693199052,28916,88.604832
1591693200054,28846,86.560830
1591693201056,28591,83.429914
1591693202058,28453,84.460522
1591693203065,27554,82.259323
1591693204065,28417,86.714598
1591693205066,27414,83.961598
1591693206174,30997,84.378421
1591693207175,28468,85.786337
1591693208207,28285,80.611120
1591693209208,26979,81.819605
1591693210209,27794,82.132203
1591693211209,27639,85.296197
1591693212327,30616,85.685232
1591693213328,28517,82.358446
1591693214329,27642,82.614830
1591693215333,27399,84.244279
1591693216412,28389,85.386417
1591693217414,27951,88.188235
1591693218415,29295,84.931290
1591693219416,27587,83.320294
1591693220417,27056,87.185535
1591693221419,28144,93.511989
1591693222421,28762,96.018883
1591693223423,30788,94.982079
