time,tx,cpu
1591693101634,3386,20.587768
1591693102636,5914,23.821656
1591693103640,8055,29.882316
1591693104641,10367,40.437244
1591693105643,14125,49.768851
1591693106644,17875,57.777102
1591693107646,19902,58.755099
1591693108684,20701,61.520152
1591693109690,20989,63.828786
1591693110692,21640,65.947318
1591693111693,22302,69.995334
1591693112695,23494,71.439911
1591693113727,24996,74.494435
1591693114732,25382,76.696762
1591693115735,26083,78.140268
1591693116736,26770,79.250314
1591693117742,27341,80.152067
1591693118743,27850,81.981841
1591693119744,28216,82.934363
1591693120747,28383,83.835109
1591693121752,29088,85.031153
1591693122757,29460,86.509275
1591693123761,30218,87.371015
1591693124763,30820,87.273586
1591693125765,31033,87.524085
1591693126766,31340,87.412587
1591693127768,31180,87.189889
1591693128770,31214,87.865844
1591693129772,31531,87.812943
1591693130772,31313,88.680139
1591693131776,31346,89.079638
1591693132778,31694,89.396057
1591693133784,31677,90.173776
1591693134787,31869,90.154623
1591693135787,31864,90.499922
1591693136790,31994,92.139195
1591693137791,31994,91.648420
1591693138796,32387,92.293114
1591693139798,32179,92.797214
1591693140800,32096,91.436977
1591693141804,32290,93.020703
1591693142809,32513,92.367106
1591693143846,33668,91.505427
1591693144847,32256,92.977833
1591693145850,32452,92.497641
1591693146852,32245,93.296937
1591693147898,33752,93.178246
1591693148900,32479,93.948846
1591693149902,32660,94.033115
1591693150904,32220,93.311352
1591693151909,32411,93.678070
1591693152911,32720,93.247487
1591693153914,32106,92.801374
1591693154916,32475,93.180757
1591693155918,32460,93.332280
1591693156919,31978,93.381772
1591693157921,32140,93.409162
1591693158924,32475,93.312597
1591693159925,32001,94.010088
1591693160928,32214,93.380871
1591693161929,32394,93.619345
1591693162931,32172,93.653032
1591693163932,31847,94.196989
1591693164934,32009,92.947615
1591693165935,32137,94.965817
1591693166937,32383,94.711992
1591693167939,32030,94.079975
1591693168945,32088,94.668118
1591693169946,32201,94.564876
1591693170947,32083,94.455630
1591693171954,32214,94.100901
1591693172956,31946,92.239225
1591693173957,31718,88.726874
1591693174960,30230,88.480277
1591693175964,30128,89.813665
1591693176974,30790,91.234935
1591693177975,31408,92.072979
1591693178976,31240,91.957987
1591693179977,31259,87.017050
1591693180979,29034,87.369231
1591693182004,30262,86.622419
1591693183075,31779,87.797357
1591693184141,31381,85.955233
1591693185143,29828,85.980869
1591693186146,28642,85.685168
1591693187148,29221,84.253323
1591693188150,29142,85.776874
1591693189154,28406,84.689070
1591693190155,28712,85.915053
1591693191159,28660,87.097284
1591693192161,29448,85.658430
1591693193161,28903,84.858880
1591693194162,28111,85.296418
1591693195164,28405,85.494264
1591693196166,28478,86.395512
1591693197169,28327,85.881985
1591693198170,29146,84.582877
1591693199171,28620,88.023292
1591693200172,29522,85.745683
1591693201174,28040,82.490211
1591693202175,28563,85.888040
1591693203180,27607,82.174800
1591693204181,28425,87.027196
1591693205184,27343,83.148697
1591693206188,28287,87.383323
1591693207190,27737,82.925308
1591693208191,28514,79.806038
1591693209320,29770,83.774525
1591693210322,27856,81.753555
1591693211323,27724,84.777110
1591693212325,27600,86.304382
1591693213326,27647,83.252541
1591693214332,27984,83.309715
1591693215334,27760,82.429467
1591693216334,27298,83.811156
1591693217338,27635,87.513691
1591693218339,28400,82.384314
1591693219340,27576,82.165704
1591693220342,27221,88.930582
1591693221346,28387,90.975186
1591693222349,28488,95.588007
1591693223350,30588,95.446722
1591693224352,31421,88.371366
1591693225353,28219,80.146829
1591693226354,25687,78.889065
1591693227356,26756,83.343721
1591693228356,27109,84.424556
1591693229358,26445,81.058072
1591693230397,27222,82.343816
1591693231506,28741,82.283784
1591693232664,30328,81.114453
1591693233665,27248,81.595092
1591693234666,26474,81.777155
1591693235667,25473,77.714914
1591693236669,26159,84.603373
1591693237671,25474,76.144768
1591693238671,26192,83.844836
1591693239673,25716,78.574799
1591693240674,26294,82.889054
1591693241733,26975,79.103083
1591693242734,26330,86.369327
1591693243736,25588,82.049283
