time,tx,cpu_util
1586256568093,6288,41.826004
1586256569096,6277,42.131740
1586256570097,6250,43.487328
1586256571098,6656,43.628209
1586256572105,6418,41.466790
1586256573106,6067,44.534539
1586256574107,6613,42.741053
1586256575108,6366,45.076923
1586256576126,6608,42.974013
1586256577129,6476,42.950717
1586256578130,6410,42.234246
1586256579147,6546,41.499456
1586256580159,6256,37.836965
1586256581159,5975,39.481132
1586256582185,6084,49.809719
1586256583247,7822,42.638472
1586256584251,6422,43.393883
1586256585253,6231,40.612726
1586256586254,6173,39.305534
1586256587255,5941,42.785524
1586256588273,6299,42.927060
1586256589276,6446,42.533650
1586256590277,6391,39.369954
1586256591277,5818,39.516256
1586256592280,5981,41.590655
1586256593281,6200,43.215363
1586256594284,6592,39.597104
1586256595284,5869,41.537748
1586256596304,6285,45.408163
1586256597339,7081,44.786117
1586256598389,7037,36.764938
1586256599390,5676,44.444444
1586256600391,6584,46.633725
1586256601393,6802,40.999369
1586256602403,6146,41.861204
1586256603424,6636,39.367589
1586256604435,6057,42.987278
1586256605437,6281,41.487001
1586256606438,6181,42.559432
1586256607444,6236,39.652146
1586256608445,6049,39.898211
1586256609446,5726,39.861825
1586256610448,6148,42.570216
1586256611449,6677,41.860110
1586256612462,6184,39.281794
1586256613468,6024,40.860896
1586256614469,6234,45.397424
1586256615470,6902,43.956044
1586256616471,6655,45.310520
1586256617495,6859,37.947344
1586256618497,5751,46.411774
