1585059062748,753
1585059063748,5383
1585059064749,5100
1585059065753,5479
1585059066752,5504
1585059067751,5484
1585059068748,5528
1585059069751,5572
1585059070750,1012
1585059071748,1362
1585059072748,5346
1585059073751,5321
1585059074751,3871
1585059075750,1730
1585059076748,1701
1585059077748,1625
1585059078748,1573
1585059079748,1398
1585059080749,1258
1585059081748,441
1585059082748,1274
1585059083749,1337
1585059084748,1374
1585059085748,1321
1585059086748,1284
1585059087749,1261
1585059088753,1221
1585059089751,1207
1585059090748,1161
1585059091748,1157
1585059092748,502
1585059093749,1125
1585059094748,131
