time,tx
1585069146734,6432
1585069147740,5948
1585069148739,6923
1585069149736,6874
1585069150738,6958
1585069151737,6941
1585069152737,5544
1585069153738,6880
1585069154737,6896
1585069155740,6949
1585069156734,6894
1585069157734,5090
1585069158734,6834
1585069159734,6876
1585069160736,6682
1585069161741,6933
1585069162734,6868
1585069163737,5127
1585069164734,6396
1585069165734,6562
1585069166734,6554
1585069167734,6568
1585069168734,6581
1585069169737,5756
1585069170736,5654
1585069171736,6537
1585069172738,5477
1585069173734,4411
1585069174738,7132
1585069175734,7132
1585069176740,6518
1585069177734,6089
1585069178739,7188
1585069179734,7074
1585069180734,7143
1585069181736,7168
1585069182734,7148
1585069183735,5720
1585069184734,6801
1585069185738,7155
1585069186736,7125
1585069187734,7140
1585069188734,7167
1585069189734,7128
1585069190734,5247
1585069191735,7123
1585069192734,7153
1585069193734,7150
1585069194734,7115
1585069195734,7160
1585069196734,6657
1585069197735,5832
1585069198734,7110
1585069199734,7074
1585069200734,7089
1585069201734,7140
1585069202742,7188
1585069203735,6017
1585069204734,6296
1585069205734,7138
1585069206734,7131
1585069207734,7133
1585069208734,7146
1585069209734,7113
1585069210734,6076
1585069211734,6295
1585069212734,7138
1585069213734,7127
1585069214734,7086
1585069215734,7147
1585069216739,7170
1585069217734,6258
1585069218734,5969
1585069219734,7089
1585069220736,7149
1585069221734,7104
1585069222734,7141
1585069223734,7142
1585069224740,6954
1585069225734,5247
1585069226734,7102
1585069227736,7154
1585069228734,7022
1585069229734,6747
1585069230734,6747
1585069231734,6790
1585069232734,5230
1585069233734,6369
1585069234734,6725
1585069235734,6798
1585069236736,6796
1585069237734,6794
1585069238734,6793
1585069239742,3080
1585069240736,5858
1585069241737,6378
1585069242735,7371
1585069243734,7387
1585069244736,7378
1585069245735,7402
1585069246738,7415
1585069247738,7418
1585069248737,5036
1585069249739,7324
1585069250742,7368
1585069251741,7378
1585069252733,7333
1585069253739,7448
1585069254737,7342
1585069255734,6622
1585069256738,5556
1585069257741,7409
1585069258734,7336
1585069259738,7384
1585069260736,7346
1585069261738,7407
1585069262734,7359
1585069263734,6256
1585069264734,5932
1585069265741,7415
1585069266733,7317
1585069267737,7408
1585069268737,7369
1585069269737,7345
1585069270741,7410
1585069271734,6383
1585069272738,5586
1585069273738,7363
1585069274740,7346
1585069275736,7341
1585069276737,7369
1585069277734,7335
1585069278733,7378
1585069279734,7082
1585069280737,4893
1585069281736,7326
1585069282734,6827
1585069283742,6358
1585069284738,6889
1585069285733,7337
1585069286734,7373
1585069287737,7408
1585069288733,6339
1585069289737,5540
1585069290734,7320
1585069291738,7371
1585069292737,7370
1585069293735,7338
1585069294739,7372
1585069295738,7371
1585069296738,7360
1585069297734,5502
1585069298737,6326
1585069299736,7304
1585069300741,7097
1585069301738,6973
1585069302741,7018
1585069303734,6961
1585069304737,6997
1585069305736,6993
1585069306733,4990
1585069307737,6297
1585069308733,6939
1585069309739,7009
1585069310734,6959
1585069311742,6463
1585069312742,4111
1585069313739,7620
1585069314734,7564
1585069315734,6587
1585069316733,5290
1585069317734,7664
1585069318735,7634
1585069319737,7609
1585069320740,7627
1585069321734,7577
1585069322733,7627
1585069323738,7660
1585069324734,6630
1585069325733,5106
1585069326736,7594
1585069327733,7628
1585069328735,7653
1585069329733,7573
1585069330733,7625
1585069331737,7623
1585069332734,7598
1585069333734,7417
1585069334733,5099
1585069335740,6730
1585069336734,7548
1585069337736,7638
1585069338733,7600
1585069339740,7620
1585069340738,7595
1585069341734,7584
1585069342736,7626
1585069343733,6315
1585069344733,5111
1585069345733,7531
1585069346737,7629
1585069347739,7614
1585069348740,7613
1585069349740,7582
1585069350733,7538
1585069351733,7575
1585069352733,7601
1585069353734,5985
1585069354738,5353
1585069355735,7552
1585069356734,7587
1585069357733,7625
1585069358740,7639
1585069359737,7533
1585069360740,7624
1585069361733,7584
1585069362735,7649
1585069363733,6281
1585069364736,5222
1585069365733,7442
1585069366739,7660
1585069367740,7596
1585069368734,7516
1585069369735,7540
1585069370740,7661
1585069371739,7593
1585069372742,7622
1585069373733,6907
1585069374733,5097
1585069375733,6582
1585069376742,7477
1585069377733,7153
1585069378733,7224
1585069379734,7232
1585069380734,7148
1585069381737,7247
1585069382733,7221
1585069383736,7287
1585069384734,5886
1585069385735,4825
1585069386733,7167
1585069387733,7239
1585069388736,7256
1585069389737,3272
1585069390741,7882
1585069391733,7773
1585069392738,7855
1585069393735,7822
1585069394733,7795
1585069395734,6221
1585069396733,5263
1585069397738,7239
1585069398735,7818
1585069399738,7819
1585069400733,7793
1585069401740,7878
1585069402733,7795
1585069403737,7619
1585069404735,6914
1585069405736,4678
1585069406733,5087
1585069407737,6519
1585069408735,7780
1585069409741,7265
1585069410735,7375
1585069411733,7566
1585069412735,7800
1585069413733,7803
1585069414733,7702
1585069415735,7824
1585069416736,7796
